name,formula,charge,n_atoms,point_group,e_eV_per_atom,e_rel_kcalmol,ref,orig_method,dHf_kcalmol
N8_D2h_pentalene,N8,0,8,D2h,-79.036918,0.0,GS,"B3LYP/6-31G* (topologie exacte, geometrie relaxee GFN2-xTB)",-113.4
N8_D2d_octaazacyclooctatetraene,N8,0,8,D2d,-79.036919,0.0,GS,Becke3LYP/6-31G* (topologie),-113.4
N8_pentalene_dianion_analog_struct11,N8,0,8,n.d.,-79.03692,0.0,A5,MP2/6-31G*,-113.4
N8_D2h_octaazapentalene,N8,0,8,D2h,-79.03692,0.0,A14,MP2/6-31G*,-113.4
N8_D2h_pentalene_v3,N8,0,8,D2h,-79.03692,0.0,A15,MP2/(9s5p1d)/[3s2p1d]; also HF and DFT,-113.4
N8_D2h_pentalene_B,N8,0,8,D2h,-79.036918,0.0,B,B3LYP/aug-cc-pVDZ,-113.4
N8_Cs_pentagonal,N8,0,8,Cs,-78.983174,9.92,B,B3LYP/aug-cc-pVDZ (topologie),-103.5
N8_Cs_azidopentazole,N8,0,8,Cs,-78.983174,9.92,GS,Becke3LYP/6-31G* (topologie),-103.5
N8_C2h_ZEZ,N8,0,8,C2h,-78.927079,20.26,B,B3LYP/aug-cc-pVDZ,-93.1
N8_C2v_EZE,N8,0,8,C2v,-78.927079,20.26,B,B3LYP/aug-cc-pVDZ,-93.1
N8_D4h_cyclooctatetraene,N8,0,8,n.d.,-78.88463,28.1,A5,MP2/6-31G*,-85.3
N8_C1_ZZE,N8,0,8,C1,-78.877513,29.41,B,B3LYP/aug-cc-pVDZ,-84.0
N8_Cs_ZEE,N8,0,8,Cs,-78.877509,29.41,B,B3LYP/aug-cc-pVDZ (topologie),-84.0
N8_C2h_EEE,N8,0,8,C2h,-78.877513,29.41,B,B3LYP/aug-cc-pVDZ,-84.0
N8_LiWang_C2h_openchain,N8,0,8,C2h,-78.87751,29.41,A13,B3LYP/6-311+G*,-84.0
N8_Cs_azidopentazole_v2,N8,0,8,Cs,-78.87751,29.41,A14,MP2/6-31G*,-84.0
N8_C2h_diazidodiimide_cis_3a,N8,0,8,C2h,-78.87751,29.41,A14,MP2/6-31G*,-84.0
N8_D2d_cis_cyclooctatetraene,N8,0,8,D2d,-78.87751,29.41,A15,MP2/(9s5p1d)/[3s2p1d]; also HF and DFT,-84.0
N8_D2h_ring_pendant,N8,0,8,D2h,-78.758508,51.36,B,B3LYP/aug-cc-pVDZ (topologie),-62.0
N8_C2v_branched,N8,0,8,C2v,-78.347025,127.27,B,B3LYP/aug-cc-pVDZ (topologie),13.9
N8_Oh_cube,N8,0,8,Oh,-77.921922,205.7,B,B3LYP/aug-cc-pVDZ,92.3
N8_Oh_cubane_GS,N8,0,8,Oh,-77.921922,205.7,GS,Becke3LYP/6-31G*,92.3
N8_Oh_octaazacubane_CCSD,N8,0,8,Oh,-77.92192,205.7,A3,CCSD/DZP (highest correlated level given for pure N8 in Table 2; no CCSD(T) row for N8 itself),92.3
N8_Oh_cubane_v2,N8,0,8,Oh,-77.92192,205.7,A15,MP2/(9s5p1d)/[3s2p1d]; also HF and DFT(B3LYP/cc-pVTZ) reported,92.3
N9_chain,N9,0,9,C2v,-78.842642,0.0,B,B3LYP/aug-cc-pVDZ,-87.2
N9_fused_rings,N9,0,9,C2v,-78.832388,2.13,B,B3LYP/aug-cc-pVDZ (topologie),-85.1
N10_D2d_linked5rings,N10,0,10,D2d,-79.004302,0.0,B,B3LYP/6-31G*,-134.2
N10_D2d_bispentazole_GS,N10,0,10,D2d,-79.004302,0.0,GS,Becke3LYP/6-31G*,-134.2
N10_C1_pentaazopentazole,N10,0,10,C1,-78.973973,6.99,A20,HF/6-31G(d) and MP2(FC)/6-311G(d),-127.2
N10_cage_C2v,N10,0,10,C2v,-78.897797,24.56,B,B3LYP/aug-cc-pVDZ (topologie),-109.6
N10_C3_cap,N10,0,10,C3,-78.897797,24.56,B,B3LYP/aug-cc-pVDZ (topologie),-109.6
N10_Cs_ring_chain,N10,0,10,Cs,-78.859332,33.43,B,B3LYP/aug-cc-pVDZ (topologie),-100.8
N10_D10h_ring,N10,0,10,D10h,-78.836892,38.61,GS,Becke3LYP/6-31G*,-95.6
N10_D5h_prism,N10,0,10,D5h,-78.20663,183.95,B,B3LYP/aug-cc-pVDZ,49.7
N11_C2v_acyclic_chain,N11,0,11,C2v,-78.85833,0.0,A18,HF/CC-PVDZ (also MP2/CC-PVDZ),-110.6
N12_C2h_dipentazolyldiazene,N12,0,12,C2h,-78.362779,0.0,GS,Becke3LYP/6-31G* (topologie),16.5
N18_C2v_cage,N18,0,18,C2v,-78.63122,0.0,A19,"B3LYP/6-31G* (also reports RHF/4-31G*, RHF/6-31G*, BHLYP/6-31G*, B3P86/6-31G*, MP2/6-31G* -- all levels given per-bond in Table 1)",-86.7
N20_Ih_dodecahedrane,N20,0,20,Ih,-78.664543,0.0,GS,Becke3LYP/6-31G*,-111.7
N20_Ih_cage_HaEtAl,N20,0,20,Ih,-78.66454,0.0,A12,B3LYP/6-31+G(d),-111.7
N2+,N2,1,2,Dinfh,-69.437011,0.0,B,B3LYP/aug-cc-pVDZ,343.8
N3+_linear,N3,1,3,Dinfh,-72.547797,0.0,B,CCSD(T)/cc-pVTZ,335.8
N3+_Dinfh_linear_groundstate,N3,1,3,Dinfh,-72.52391,1.65,A1,"MRCI/[5s,4p,3d,2f] (Dunning basis, state-averaged CASSCF reference)",337.5
N3+_triangle,N3,1,3,D3h,-72.169198,26.19,B,CCSD(T)/cc-pVTZ,362.0
N4+_rectangle,N4,1,4,D2h,-73.618086,0.0,B,B3LYP/aug-cc-pVDZ,372.6
N5+_Vchain,N5,1,5,C2v,-76.111687,0.0,B,CCSD(T)/6-311+G(2d),195.9
N5+_C2v_experimental_Xray,N5,1,5,C2v,-76.11169,0.0,A8,"Single-crystal X-ray diffraction, N5+Sb2F11- salt (EXPERIMENTAL, not computational)",195.8
N6+_C2h_planar,N6,1,6,C2h,-76.495731,0.0,B,B3LYP/aug-cc-pVDZ,196.0
N6+_C2v,N6,1,6,C2v,-76.495731,0.0,B,B3LYP/aug-cc-pVDZ,196.0
N6+_C2h_nonplanar,N6,1,6,C2h,-76.49573,0.0,B,B3LYP/aug-cc-pVDZ (topologie),196.0
N7+_chain,N7,1,7,C2v,-76.94401,0.0,B,B3LYP/aug-cc-pVDZ,168.1
N7+_1_C2v_openchain,N7,1,7,C2v,-76.94401,0.0,A11,"B3LYP/6-311(+)G* (paper's preferred level; HF/6-31G*, B3LYP/6-31G*, MP2/6-31G* also given in Fig. 1a/Table 1)",168.1
N9+_chain,N9,1,9,C2v,-77.512195,0.0,B,B3LYP/aug-cc-pVDZ,118.3
N9+_fused_rings,N9,1,9,C2v,-77.328291,38.17,B,B3LYP/aug-cc-pVDZ (topologie),156.5
N10+_chain,N10,1,10,C1,-77.618327,0.0,B,B3LYP/aug-cc-pVDZ,114.8
N10+_rings,N10,1,10,C1,-77.493817,28.71,B,B3LYP/aug-cc-pVDZ (topologie),143.5
