rank,formula,family,charge,n_atoms,e_reaction_kcalmol,reference_reaction,is_true_minimum,n_imaginary_freq,xyz
4,N9_anion,anion,-1,9,-37.76537021268252,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N9_anion_iso0159_conf1/post_freq_minimum.xyz
5,N9_anion,anion,-1,9,-34.16178995005573,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N9_anion_iso0017_conf1/post_freq_minimum.xyz
6,N9_anion,anion,-1,9,-31.287540428628805,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N9_anion_iso0035_conf1/xtbopt.xyz
7,N9_anion,anion,-1,9,-20.860349378150648,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N9_anion_iso0000_conf1/xtbopt.xyz
8,N9_anion,anion,-1,9,-13.328753867157088,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N9_anion_iso0023_conf0/post_freq_minimum.xyz
9,N9_anion,anion,-1,9,-11.323619629579952,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N9_anion_iso0106_conf1/xtbopt.xyz
10,N9_anion,anion,-1,9,-10.170938419092296,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N9_anion_iso0127_conf1/xtbopt.xyz
11,N9_anion,anion,-1,9,-7.237487444647079,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N9_anion_iso0044_conf0/xtbopt.xyz
12,N9_anion,anion,-1,9,19.550105916950958,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N9_anion_iso0011_conf1/post_freq_minimum.xyz
13,N9_anion,anion,-1,9,20.160166384580194,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N9_anion_iso0047_conf0/xtbopt.xyz
