rank,formula,family,tag,charge,n_atoms,e_xtb_hartree,e_per_atom_hartree,e_reaction_hartree,e_reaction_ev_per_atom,e_reaction_kcalmol,reference_reaction,smiles,xyz,is_true_minimum,n_freq_hops,n_imaginary_freq
9,N7_anion,anion,N7_anion_iso0146_conf0,-1,7,-20.445891457553863,-2.920841636793409,0.07894254244613563,0.3068765733917284,49.53719365542833,Nx- -> (x-5)/2 N2 + N5-,[N-]=NN=N[N+]1=N[N-]1,resultats/seeds_pubchem/work/xtb/N7_anion_iso0146_conf0/xtbopt.xyz,True,0,0
10,N7_anion,anion,N7_anion_iso0223_conf1,-1,7,-20.441209647228398,-2.920172806746914,0.08362435277160074,0.3250763661198264,52.475074012002814,Nx- -> (x-5)/2 N2 + N5-,[N+]1=[n+]2[n-][n-][n-][n+]=1[n-]2,resultats/seeds_pubchem/work/xtb/N7_anion_iso0223_conf1/xtbopt.xyz,True,0,0
11,N7_anion,anion,N7_anion_iso0080_conf0,-1,7,-20.439136055455375,-2.9198765793507677,0.08569794454462354,0.33313712421300157,53.7762725044712,Nx- -> (x-5)/2 N2 + N5-,[N-]=[N+]=NN=[N+]1[N-][N-]1,resultats/seeds_pubchem/work/xtb/N7_anion_iso0080_conf0/xtbopt.xyz,True,0,0
12,N7_anion,anion,N7_anion_iso0201_conf0,-1,7,-20.438114783235054,-2.9197306833192935,0.08671921676494421,0.3371071574772078,54.41713050302697,Nx- -> (x-5)/2 N2 + N5-,[N-]=[N+]=[N+]=Nn1[n-][n-]1,resultats/seeds_pubchem/work/xtb/N7_anion_iso0201_conf0/xtbopt.xyz,True,0,0
13,N7_anion,anion,N7_anion_iso0051_conf1,-1,7,-20.43529120785208,-2.91932731540744,0.08954279214791683,0.34808335752588376,56.188950819587625,Nx- -> (x-5)/2 N2 + N5-,n1n[n-]n2[n-][n+]-2n1,resultats/seeds_pubchem/work/xtb/N7_anion_iso0051_conf1/xtbopt.xyz,True,0,0
14,N7_anion,anion,N7_anion_iso0084_conf0,-1,7,-20.426008167541358,-2.9180011667916226,0.0988258324586404,0.38416969973048026,62.014146605462294,Nx- -> (x-5)/2 N2 + N5-,[N-2][n+]1nn2n3n2n31,resultats/seeds_pubchem/work/xtb/N7_anion_iso0084_conf0/xtbopt.xyz,True,0,0
15,N7_anion,anion,N7_anion_iso0083_conf0,-1,7,-20.407408643556302,-2.9153440919366145,0.11742535644369667,0.45647238989460653,73.68552420487502,Nx- -> (x-5)/2 N2 + N5-,N#[N+]N1[N-][N+](=[N-])[N-]1,resultats/seeds_pubchem/work/xtb/N7_anion_iso0083_conf0/xtbopt.xyz,True,0,0
16,N7_anion,anion,N7_anion_iso0025_conf0,-1,7,-20.403135220869128,-2.914733602981304,0.12169877913087035,0.473084640656471,76.36713744744911,Nx- -> (x-5)/2 N2 + N5-,n1nn2n1n1[n-]n21,resultats/seeds_pubchem/work/frequency/N7_anion_iso0025_conf0/post_freq_minimum.xyz,True,1,0
17,N7_anion,anion,N7_anion_iso0129_conf1,-1,7,-20.390828133167915,-2.9129754475954166,0.1340058668320836,0.5209264859423227,84.08995163480981,Nx- -> (x-5)/2 N2 + N5-,N1=NN1[n+]1n[n-][n-]1,resultats/seeds_pubchem/work/xtb/N7_anion_iso0129_conf1/xtbopt.xyz,True,0,0
18,N7_anion,anion,N7_anion_iso0075_conf0,-1,7,-20.366995229896713,-2.9095707471281016,0.15783877010328595,0.6135731054103167,99.04532434176569,Nx- -> (x-5)/2 N2 + N5-,N1=[N+](N=[N+]2[N-][N-]2)[N-]1,resultats/seeds_pubchem/work/xtb/N7_anion_iso0075_conf0/xtbopt.xyz,True,0,0
19,N7_anion,anion,N7_anion_iso0024_conf0,-1,7,-20.358409105241737,-2.9083441578916767,0.1664248947582614,0.6469502988878506,104.43319894782339,Nx- -> (x-5)/2 N2 + N5-,[n-]1n2n1n1n3n2n13,resultats/seeds_pubchem/work/frequency/N7_anion_iso0024_conf0/post_freq_minimum.xyz,True,1,0
20,N7_anion,anion,N7_anion_iso0182_conf0,-1,7,-20.290565273419684,-2.8986521819170976,0.23426872658031428,0.9106824006189553,147.00584648560056,Nx- -> (x-5)/2 N2 + N5-,[N-]1N2[N-]N3N4N1[N+]234,resultats/seeds_pubchem/work/xtb/N7_anion_iso0182_conf0/xtbopt.xyz,True,0,0
1,N9_anion,anion,N9_anion_iso0162_conf0,-1,9,-26.39591841030014,-2.932879823366682,-0.10714941030013847,-0.32396488774521254,-67.23727059746777,Nx- -> (x-5)/2 N2 + N5-,[N-2][N+]12[N-][N+]34N5[N+]3([N-]1)[N+]54[N-]2,resultats/seeds_pubchem/work/xtb/N9_anion_iso0162_conf0/xtbopt.xyz,True,0,0
2,N9_anion,anion,N9_anion_iso0022_conf1,-1,9,-26.365061355705773,-2.929451261745086,-0.07629235570577109,-0.2306689731917826,-47.874176355598344,Nx- -> (x-5)/2 N2 + N5-,n1nn2n3[n-]n4n(n13)n24,resultats/seeds_pubchem/work/frequency/N9_anion_iso0022_conf1/post_freq_minimum.xyz,True,1,0
3,N9_anion,anion,N9_anion_iso0036_conf1,-1,9,-26.358289860564465,-2.9286988733960517,-0.06952086056446305,-0.21019544321923103,-43.62499896964517,Nx- -> (x-5)/2 N2 + N5-,N1=N[n+]2[n-]nn[n+]2[N-][N-]1,resultats/seeds_pubchem/work/xtb/N9_anion_iso0036_conf1/xtbopt.xyz,True,0,0
4,N9_anion,anion,N9_anion_iso0159_conf1,-1,9,-26.348951947821917,-2.9276613275357684,-0.06018294782191447,-0.18196238206713963,-37.76537021268252,Nx- -> (x-5)/2 N2 + N5-,[N-]=[N+]1[N-][n+]2nn[n-][n+]2[N-]1,resultats/seeds_pubchem/work/frequency/N9_anion_iso0159_conf1/post_freq_minimum.xyz,True,1,0
5,N9_anion,anion,N9_anion_iso0017_conf1,-1,9,-26.34320927717692,-2.927023253019658,-0.05444027717691924,-0.16459948995553272,-34.16178995005573,Nx- -> (x-5)/2 N2 + N5-,N1=N[N+]2(N=N1)N=N[N-][N-]2,resultats/seeds_pubchem/work/frequency/N9_anion_iso0017_conf1/post_freq_minimum.xyz,True,2,0
6,N9_anion,anion,N9_anion_iso0035_conf1,-1,9,-26.33862886904108,-2.9265143187823424,-0.04985986904107875,-0.15075068385013035,-31.287540428628805,Nx- -> (x-5)/2 N2 + N5-,N1=N[N+](=[N+]2[N-][N-][N-]2)N=N1,resultats/seeds_pubchem/work/xtb/N9_anion_iso0035_conf1/xtbopt.xyz,True,0,0
7,N9_anion,anion,N9_anion_iso0000_conf1,-1,9,-26.322012082514537,-2.9246680091682817,-0.03324308251453445,-0.10051003981224965,-20.860349378150648,Nx- -> (x-5)/2 N2 + N5-,[N-2][N+](=[N-])[n+]1nnnnn1,resultats/seeds_pubchem/work/xtb/N9_anion_iso0000_conf1/xtbopt.xyz,True,0,0
8,N9_anion,anion,N9_anion_iso0023_conf0,-1,9,-26.310009721168647,-2.923334413463183,-0.021240721168645393,-0.06422105198481592,-13.328753867157088,Nx- -> (x-5)/2 N2 + N5-,[N-2][n+]1nnn[n+]2[n-][n-][n+]12,resultats/seeds_pubchem/work/frequency/N9_anion_iso0023_conf0/post_freq_minimum.xyz,True,1,0
9,N9_anion,anion,N9_anion_iso0106_conf1,-1,9,-26.306814336388452,-2.922979370709828,-0.018045336388450295,-0.05455984648943368,-11.323619629579952,Nx- -> (x-5)/2 N2 + N5-,[N-]=NN1N=N[N+](=[N-])N=N1,resultats/seeds_pubchem/work/xtb/N9_anion_iso0106_conf1/xtbopt.xyz,True,0,0
10,N9_anion,anion,N9_anion_iso0127_conf1,-1,9,-26.30497742196777,-2.92277526910753,-0.01620842196776806,-0.04900595895587706,-10.170938419092296,Nx- -> (x-5)/2 N2 + N5-,[N-2][N+](=[N-])N=[N+]1N=NN=N1,resultats/seeds_pubchem/work/xtb/N9_anion_iso0127_conf1/xtbopt.xyz,True,0,0
11,N9_anion,anion,N9_anion_iso0044_conf0,-1,9,-26.300302670311982,-2.922255852256887,-0.01153367031198016,-0.034871906410353,-7.237487444647079,Nx- -> (x-5)/2 N2 + N5-,N1=N[N-][N+]2(N=N1)N=N[N-]2,resultats/seeds_pubchem/work/xtb/N9_anion_iso0044_conf0/xtbopt.xyz,True,0,0
12,N9_anion,anion,N9_anion_iso0011_conf1,-1,9,-26.257613923333558,-2.917512658148173,0.031155076666443904,0.09419698052155259,19.550105916950958,Nx- -> (x-5)/2 N2 + N5-,n1nn[n+](-n2[n-][n-]2)nn1,resultats/seeds_pubchem/work/frequency/N9_anion_iso0011_conf1/post_freq_minimum.xyz,True,1,0
13,N9_anion,anion,N9_anion_iso0047_conf0,-1,9,-26.256641730102437,-2.9174046366780484,0.03212726989756476,0.09713639446797089,20.160166384580194,Nx- -> (x-5)/2 N2 + N5-,N1=NN2[N-]N3N=NN1N23,resultats/seeds_pubchem/work/xtb/N9_anion_iso0047_conf0/xtbopt.xyz,True,0,0
14,N9_anion,anion,N9_anion_iso0129_conf1,-1,9,-26.25503552189399,-2.917226169099332,0.03373347810601146,0.10199274468480639,21.168077260101505,Nx- -> (x-5)/2 N2 + N5-,[N-]=N[N+]1=NN=N[N+](=[N-])[N-]1,resultats/seeds_pubchem/work/frequency/N9_anion_iso0129_conf1/post_freq_minimum.xyz,True,1,0
15,N9_anion,anion,N9_anion_iso0026_conf1,-1,9,-26.228610873892585,-2.914290097099176,0.06015812610741733,0.1818873339270875,37.74979435155867,Nx- -> (x-5)/2 N2 + N5-,[n-]1n2n3n4n1n1n2n1n34,resultats/seeds_pubchem/work/frequency/N9_anion_iso0026_conf1/post_freq_minimum.xyz,True,1,0
16,N9_anion,anion,N9_anion_iso0043_conf0,-1,9,-26.195025073869203,-2.9105583415410226,0.09374392613079863,0.28343357579561435,58.82520221501762,Nx- -> (x-5)/2 N2 + N5-,N1=N[N+]23N=N[N+]12[N-][N-][N-]3,resultats/seeds_pubchem/work/xtb/N9_anion_iso0043_conf0/xtbopt.xyz,True,0,0
17,N9_anion,anion,N9_anion_iso0015_conf1,-1,9,-26.19186306074992,-2.910207006749991,0.09690593925008173,0.29299388249602476,60.809395419053445,Nx- -> (x-5)/2 N2 + N5-,N1=NN2N=NN1[N+]21[N-][N-]1,resultats/seeds_pubchem/work/xtb/N9_anion_iso0015_conf1/xtbopt.xyz,True,0,0
18,N9_anion,anion,N9_anion_iso0139_conf0,-1,9,-26.17072433703674,-2.907858259670749,0.11804466296326055,0.35690654646341746,74.07414491610481,Nx- -> (x-5)/2 N2 + N5-,[n-]1n2n1n1[n-]n2[n+]2[n-][n+]1=2,resultats/seeds_pubchem/work/frequency/N9_anion_iso0139_conf0/post_freq_minimum.xyz,True,1,0
19,N9_anion,anion,N9_anion_iso0051_conf1,-1,9,-26.150574452802942,-2.9056193836447712,0.1381945471970596,0.41782946676317856,86.71838826696015,Nx- -> (x-5)/2 N2 + N5-,n1nn2n1n1n3[n-]n3n21,resultats/seeds_pubchem/work/frequency/N9_anion_iso0051_conf1/post_freq_minimum.xyz,True,1,0
20,N9_anion,anion,N9_anion_iso0014_conf1,-1,9,-26.068596013973725,-2.8965106682193027,0.22017298602627733,0.6656902404103946,138.160635679039,Nx- -> (x-5)/2 N2 + N5-,[N-2][N+]12N3N4N5N3N1N5N42,resultats/seeds_pubchem/work/xtb/N9_anion_iso0014_conf1/xtbopt.xyz,True,0,0
1,N11_anion,anion,N11_anion_iso0132_conf0,-1,11,-32.25380639938313,-2.932164218125739,-0.20110239938313157,-0.49747955132812105,-126.1936617966266,Nx- -> (x-5)/2 N2 + N5-,n1n[n+]([N-][n+]2nn[n-]n2)n[n-]1,resultats/seeds_pubchem/work/frequency/N11_anion_iso0132_conf0/post_freq_minimum.xyz,True,1,0
2,N11_anion,anion,N11_anion_iso0009_conf0,-1,11,-32.190944561076094,-2.9264495055523723,-0.1382405610760955,-0.3419743002094299,-86.74726241220566,Nx- -> (x-5)/2 N2 + N5-,N1=NN([n+]2nnnnn2)[N-][N-]1,resultats/seeds_pubchem/work/frequency/N11_anion_iso0009_conf0/post_freq_minimum.xyz,True,1,0
3,N11_anion,anion,N11_anion_iso0006_conf0,-1,11,-32.183339350831154,-2.9257581228028324,-0.13063535083115596,-0.3231608171678849,-81.97492089621159,Nx- -> (x-5)/2 N2 + N5-,n1nn[n+]2[n-][n-][n-]nn[n+]2n1,resultats/seeds_pubchem/work/xtb/N11_anion_iso0006_conf0/xtbopt.xyz,True,0,0
4,N11_anion,anion,N11_anion_iso0144_conf0,-1,11,-32.174399185092426,-2.924945380462948,-0.1216951850924275,-0.3010449714388223,-76.3648821542595,Nx- -> (x-5)/2 N2 + N5-,n1n[n+]2[n+]3[n+](n1)[N-][N-]N3[N-][N-]2,resultats/seeds_pubchem/work/xtb/N11_anion_iso0144_conf0/xtbopt.xyz,True,0,0
5,N11_anion,anion,N11_anion_iso0024_conf0,-1,11,-32.171497009646245,-2.924681546331477,-0.11879300964624662,-0.29386567898249044,-74.54373955301143,Nx- -> (x-5)/2 N2 + N5-,[N-2]n1[n+]([N-2])n[n+]2nnnn[n+]12,resultats/seeds_pubchem/work/frequency/N11_anion_iso0024_conf0/post_freq_minimum.xyz,True,1,0
