rank,formula,family,tag,charge,n_atoms,e_xtb_hartree,e_per_atom_hartree,e_reaction_hartree,e_reaction_ev_per_atom,e_reaction_kcalmol,reference_reaction,smiles,xyz,is_true_minimum,n_freq_hops,n_imaginary_freq,on_hull,e_above_hull_ev_per_atom
1,N5_cation,cation,N5_cation_iso0004_conf1,1,5,-13.985264489345171,-2.797052897869034,-0.16832948934517056,-0.9160957502322714,-105.62835010413654,Nx+ -> (x-5)/2 N2 + N5+,N#[N+][N-][N+]#N,resultats/seeds_pubchem/work/xtb/N5_cation_iso0004_conf1/xtbopt.xyz,True,0,0,True,0.0
1,N7_cation,cation,N7_cation_iso0057_conf1,1,7,-19.793481500274943,-2.8276402143249917,-0.21261150027494224,-0.8264933791886339,-133.41573169723185,Nx+ -> (x-5)/2 N2 + N5+,N#[N+]N=N[N-][N+]#N,resultats/seeds_pubchem/work/xtb/N7_cation_iso0057_conf1/xtbopt.xyz,True,0,0,False,0.052363245336712994
1,N9_cation,cation,N9_cation_iso0105_conf0,1,9,-25.622778024016874,-2.846975336001875,-0.2779730240168732,-0.8404479247209372,-174.43070738574804,Nx+ -> (x-5)/2 N2 + N5+,n1[n+]2[n+]3n[n+]([n+]1[N-][N-]2)[N-]3,resultats/seeds_pubchem/work/frequency/N9_cation_iso0105_conf0/post_freq_minimum.xyz,True,1,0,False,0.0011695740974850821
1,N11_cation,cation,N11_cation_iso0105_conf1,1,11,-31.428285562588602,-2.8571168693262368,-0.31954556258860123,-0.7904797933445419,-200.51786939197078,Nx+ -> (x-5)/2 N2 + N5+,n1n[n+]2[n-][n+]3nn[n-][n+]3[n+]2[n-]1,resultats/seeds_pubchem/work/xtb/N11_cation_iso0105_conf1/xtbopt.xyz,True,0,0,False,0.013898579766955854
1,N13_cation,cation,N13_cation_iso0119_conf1,1,13,-37.21265828296693,-2.8625121756128404,-0.3399832829669265,-0.7116474176916976,-213.34273265182077,Nx+ -> (x-5)/2 N2 + N5+,n1nn[n+]2[n+](n1)[N-][n+]1nn[n-][n+]1[N-]2,resultats/seeds_pubchem/work/xtb/N13_cation_iso0119_conf1/xtbopt.xyz,True,0,0,False,0.055491829712875584
1,N15_cation,cation,N15_cation_iso0132_conf0,1,15,-43.038960020924755,-2.8692640013949835,-0.40235002092475014,-0.7299001216976486,-252.47845187421703,Nx+ -> (x-5)/2 N2 + N5+,n1n[n-][n+](-[n+]2nn[n+](-[n+]3nnn[n-]3)[n-]2)n1,resultats/seeds_pubchem/work/frequency/N15_cation_iso0132_conf0/post_freq_minimum.xyz,True,1,0,True,0.0
