formula,tag,charge,n_atoms,e_xtb_hartree,e_dftb_hartree,e_formation_hartree,e_formation_ev_per_atom,e_formation_kcalmol,xyz,on_hull,e_above_hull_kcalmol
N4,N4_iso0001_conf1,0,4,-11.484331564167801,,0.04353919068007883,0.2961904336083365,27.32125484546343,results/work/xtb/N4_iso0001_conf1/xtbopt.xyz,False,81.00308478476728
N5,N5_iso0000_conf1,1,5,-14.441811511551409,,-0.03197306799155797,-0.17400630051750393,-20.063403226931623,results/work/xtb/N5_iso0000_conf1/xtbopt.xyz,False,47.038884197198186
N5_anion,N5_anion_iso0000_conf1,-1,5,-14.441811511551405,,-0.031973067991554416,-0.17400630051748459,-20.063403226929392,results/work/xtb/N5_anion_iso0000_conf1/xtbopt.xyz,False,47.03888419720042
N6,N6_iso0005_conf1,0,6,-17.39333066732149,,-0.10152453504966985,-0.4604372227801521,-63.70760806145035,results/work/xtb/N6_iso0005_conf1/xtbopt.xyz,False,16.815136847505418
N8,N8_iso0007_conf2,0,8,-23.18680463973619,,-0.13106313004043102,-0.44580118176729017,-82.24335640481056,results/work/xtb/N8_iso0007_conf2/xtbopt.xyz,False,25.120303473797136
N10,N10_iso0034_conf1,0,10,-29.03354548896496,,-0.21386860184525958,-0.581966113070078,-134.20457484825963,results/work/xtb/N10_iso0034_conf1/xtbopt.xyz,True,0.0
