id,formula,n_atoms,topology_label,n_edges,n_rings,ring_sizes,degree_sequence,max_degree_actual,conformer_id,ff_energy_au,mace_energy_eV,mace_energy_eV_per_atom,delta_E_eV_per_atom_vs_N2,is_stability_candidate,converged,n_opt_steps,spacegroup,sg_number,xyz_file,cif_file
22,N6,6,chain,5,0,[],"[2, 2, 2, 2, 1, 1]",2,2,6.652379,-8942.556953,-1490.426159,-0.0635,False,True,64,P1,1,xyz/N6_0003_chain.xyz,cif/N6_0003_chain.cif
23,N6,6,ring-3-substituted,6,1,[3],"[3, 3, 3, 1, 1, 1]",3,2,225.217747,-8942.343494,-1490.390582,-0.0279,False,True,96,P1,1,xyz/N6_0004_ring-3-substituted.xyz,cif/N6_0004_ring-3-substituted.cif
24,N6,6,ring-3-substituted,6,1,[3],"[3, 3, 2, 2, 1, 1]",3,3,250.909429,-8940.309227,-1490.051538,0.3111,True,True,50,P1,1,xyz/N6_0005_ring-3-substituted.xyz,cif/N6_0005_ring-3-substituted.cif
25,N6,6,ring-3-substituted,6,1,[3],"[3, 3, 2, 2, 1, 1]",3,0,281.247760,-8937.341567,-1489.556928,0.8057,True,True,12,P1,1,xyz/N6_0006_ring-3-substituted.xyz,cif/N6_0006_ring-3-substituted.cif
26,N6,6,ring-3-substituted,6,1,[3],"[3, 2, 2, 2, 2, 1]",3,4,276.824761,-8939.010308,-1489.835051,0.5276,True,True,17,P1,1,xyz/N6_0007_ring-3-substituted.xyz,cif/N6_0007_ring-3-substituted.cif
27,N6,6,ring-4-substituted,6,1,[4],"[3, 3, 2, 2, 1, 1]",3,3,99.358972,-8942.354447,-1490.392408,-0.0297,False,True,98,P1,1,xyz/N6_0008_ring-4-substituted.xyz,cif/N6_0008_ring-4-substituted.cif
28,N6,6,ring-4-substituted,6,1,[4],"[3, 2, 2, 2, 2, 1]",3,2,109.477213,-8938.522437,-1489.753740,0.6089,True,True,16,P1,1,xyz/N6_0009_ring-4-substituted.xyz,cif/N6_0009_ring-4-substituted.cif
29,N6,6,ring-4-substituted,6,1,[4],"[3, 3, 2, 2, 1, 1]",3,2,97.849392,-8938.075518,-1489.679253,0.6834,True,True,36,P-1,2,xyz/N6_0010_ring-4-substituted.xyz,cif/N6_0010_ring-4-substituted.cif
30,N6,6,ring-5-substituted,6,1,[5],"[3, 2, 2, 2, 2, 1]",3,2,32.710782,-8939.809261,-1489.968210,0.3945,True,True,13,P1,1,xyz/N6_0011_ring-5-substituted.xyz,cif/N6_0011_ring-5-substituted.cif
31,N6,6,ring-6,6,1,[6],"[2, 2, 2, 2, 2, 2]",2,3,11.289098,-8939.201374,-1489.866896,0.4958,True,True,3,P-1,2,xyz/N6_0012_ring-6.xyz,cif/N6_0012_ring-6.cif
32,N6,6,bicyclic-3-3,7,2,"[3, 3]","[3, 3, 3, 3, 1, 1]",3,4,431.501285,-11303.633843,-1883.938974,-393.5763,False,False,500,P1,1,xyz/N6_0013_bicyclic-3-3.xyz,cif/N6_0013_bicyclic-3-3.cif
33,N6,6,bicyclic-3-3,7,2,"[3, 3]","[3, 3, 3, 2, 2, 1]",3,3,456.793606,-8939.844312,-1489.974052,0.3886,True,True,16,P1,1,xyz/N6_0014_bicyclic-3-3.xyz,cif/N6_0014_bicyclic-3-3.cif
34,N6,6,bicyclic-3-4,7,2,"[3, 4]","[3, 3, 3, 2, 2, 1]",3,4,309.509104,-8937.397667,-1489.566278,0.7964,True,True,14,P1,1,xyz/N6_0015_bicyclic-3-4.xyz,cif/N6_0015_bicyclic-3-4.cif
35,N6,6,bicyclic-3-4,7,2,"[3, 4]","[3, 3, 3, 2, 2, 1]",3,0,321.921075,-8942.398037,-1490.399673,-0.0370,False,True,137,P1,1,xyz/N6_0016_bicyclic-3-4.xyz,cif/N6_0016_bicyclic-3-4.cif
36,N6,6,bicyclic-3-5,7,2,"[3, 5]","[3, 3, 2, 2, 2, 2]",3,3,266.975447,-8937.710528,-1489.618421,0.7443,True,True,6,P1,1,xyz/N6_0017_bicyclic-3-5.xyz,cif/N6_0017_bicyclic-3-5.cif
37,N6,6,bicyclic-3-3,7,2,"[3, 3]","[3, 3, 2, 2, 2, 2]",3,1,546.915854,-8937.367163,-1489.561194,0.8015,True,True,7,P-1,2,xyz/N6_0018_bicyclic-3-3.xyz,cif/N6_0018_bicyclic-3-3.cif
38,N6,6,bicyclic-4-4,7,2,"[4, 4]","[3, 3, 3, 2, 2, 1]",3,4,300.935213,-43905.743119,-7317.623853,-5827.2612,False,False,500,P1,1,xyz/N6_0019_bicyclic-4-4.xyz,cif/N6_0019_bicyclic-4-4.cif
39,N6,6,bicyclic-4-4,7,2,"[4, 4]","[3, 3, 2, 2, 2, 2]",3,2,180.862831,-8936.620685,-1489.436781,0.9259,True,True,9,P1,1,xyz/N6_0020_bicyclic-4-4.xyz,cif/N6_0020_bicyclic-4-4.cif
40,N6,6,bicyclic-4-5,7,2,"[4, 5]","[3, 3, 2, 2, 2, 2]",3,4,181.661980,-37315.777223,-6219.296204,-4728.9335,False,False,500,P1,1,xyz/N6_0021_bicyclic-4-5.xyz,cif/N6_0021_bicyclic-4-5.cif
41,N6,6,bicyclic-3-4-4,8,3,"[3, 4, 4]","[3, 3, 3, 3, 3, 1]",3,2,558.639343,-8942.820985,-1490.470164,-0.1075,False,True,69,P1,1,xyz/N6_0022_bicyclic-3-4-4.xyz,cif/N6_0022_bicyclic-3-4-4.cif
42,N6,6,bicyclic-3-5-5,8,3,"[3, 5, 5]","[3, 3, 3, 3, 2, 2]",3,3,464.860729,-21943.576177,-3657.262696,-2166.9000,False,False,500,P1,1,xyz/N6_0023_bicyclic-3-5-5.xyz,cif/N6_0023_bicyclic-3-5-5.cif
43,N6,6,bicyclic-4-4-5,8,3,"[4, 4, 5]","[3, 3, 3, 3, 2, 2]",3,3,394.168056,-13258.186751,-2209.697792,-719.3351,False,False,500,P1,1,xyz/N6_0024_bicyclic-4-4-5.xyz,cif/N6_0024_bicyclic-4-4-5.cif
44,N6,6,bicyclic-3-3-4,8,3,"[3, 3, 4]","[3, 3, 3, 3, 2, 2]",3,2,546.594702,-8935.716014,-1489.286002,1.0767,True,True,8,P-1,2,xyz/N6_0025_bicyclic-3-3-4.xyz,cif/N6_0025_bicyclic-3-3-4.cif
45,N6,6,bicyclic-4-4-4,8,3,"[4, 4, 4]","[3, 3, 3, 3, 2, 2]",3,2,398.830515,-8942.283208,-1490.380535,-0.0179,False,True,138,P1,1,xyz/N6_0026_bicyclic-4-4-4.xyz,cif/N6_0026_bicyclic-4-4-4.cif
46,N6,6,bicyclic-3-3-4-4,9,4,"[3, 3, 4, 4]","[3, 3, 3, 3, 3, 3]",3,4,601.459231,-1433886.873159,-238981.145527,-237490.7828,False,False,500,P1,1,xyz/N6_0027_bicyclic-3-3-4-4.xyz,cif/N6_0027_bicyclic-3-3-4-4.cif
47,N6,6,bicyclic-4-4-4-4,9,4,"[4, 4, 4, 4]","[3, 3, 3, 3, 3, 3]",3,2,1011.754866,-8937.851838,-1489.641973,0.7207,True,True,75,P1,1,xyz/N6_0028_bicyclic-4-4-4-4.xyz,cif/N6_0028_bicyclic-4-4-4-4.cif
48,N7,7,ring-3-substituted,7,1,[3],"[3, 3, 2, 2, 2, 1, 1]",3,4,252.576464,-10429.938185,-1489.991169,0.3715,True,True,32,P1,1,xyz/N7_0000_ring-3-substituted.xyz,cif/N7_0000_ring-3-substituted.cif
49,N7,7,bicyclic-3-4,8,2,"[3, 4]","[3, 3, 3, 3, 2, 1, 1]",3,1,314.915339,-10429.266117,-1489.895160,0.4675,True,True,47,P1,1,xyz/N7_0001_bicyclic-3-4.xyz,cif/N7_0001_bicyclic-3-4.cif
50,N7,7,ring-4-substituted,7,1,[4],"[3, 2, 2, 2, 2, 2, 1]",3,0,111.141005,-10428.316151,-1489.759450,0.6032,True,True,23,P1,1,xyz/N7_0002_ring-4-substituted.xyz,cif/N7_0002_ring-4-substituted.cif
51,N7,7,bicyclic-3-4,8,2,"[3, 4]","[3, 3, 2, 2, 2, 2, 2]",3,4,381.318814,-10426.344764,-1489.477823,0.8849,True,True,13,P1,1,xyz/N7_0003_bicyclic-3-4.xyz,cif/N7_0003_bicyclic-3-4.cif
52,N7,7,ring-3-substituted,7,1,[3],"[3, 3, 3, 2, 1, 1, 1]",3,4,229.166829,-10432.467292,-1490.352470,0.0102,True,True,95,P1,1,xyz/N7_0004_ring-3-substituted.xyz,cif/N7_0004_ring-3-substituted.cif
53,N7,7,bicyclic-3-3,8,2,"[3, 3]","[3, 3, 3, 2, 2, 2, 1]",3,4,458.458351,-10427.886583,-1489.698083,0.6646,True,True,18,P1,1,xyz/N7_0005_bicyclic-3-3.xyz,cif/N7_0005_bicyclic-3-3.cif
54,N7,7,bicyclic-3-3-6,9,3,"[3, 3, 6]","[3, 3, 3, 3, 2, 2, 2]",3,1,438.093064,-14085.661853,-2012.237408,-521.8747,False,False,500,P1,1,xyz/N7_0006_bicyclic-3-3-6.xyz,cif/N7_0006_bicyclic-3-3-6.cif
55,N7,7,branched-tree,6,0,[],"[3, 2, 2, 2, 1, 1, 1]",3,0,12.645181,-10432.319685,-1490.331384,0.0313,True,True,76,P1,1,xyz/N7_0007_branched-tree.xyz,cif/N7_0007_branched-tree.cif
56,N7,7,bicyclic-4-4,8,2,"[4, 4]","[3, 3, 3, 2, 2, 2, 1]",3,0,172.146686,-10426.693897,-1489.527700,0.8350,True,True,25,P1,1,xyz/N7_0008_bicyclic-4-4.xyz,cif/N7_0008_bicyclic-4-4.cif
57,N7,7,bicyclic-4-4-5,9,3,"[4, 4, 5]","[3, 3, 3, 3, 2, 2, 2]",3,4,739.124290,-44074.865374,-6296.409339,-4806.0467,False,False,500,P1,1,xyz/N7_0009_bicyclic-4-4-5.xyz,cif/N7_0009_bicyclic-4-4-5.cif
58,N7,7,ring-4-substituted,7,1,[4],"[3, 3, 3, 2, 1, 1, 1]",3,0,89.413177,-10430.557660,-1490.079666,0.2830,True,True,84,P1,1,xyz/N7_0010_ring-4-substituted.xyz,cif/N7_0010_ring-4-substituted.cif
59,N7,7,bicyclic-4-4-4,9,3,"[4, 4, 4]","[3, 3, 3, 3, 2, 2, 2]",3,4,238.205873,-10656.098965,-1522.299852,-31.9372,False,False,500,P1,1,xyz/N7_0011_bicyclic-4-4-4.xyz,cif/N7_0011_bicyclic-4-4-4.cif
60,N7,7,ring-5-substituted,7,1,[5],"[3, 2, 2, 2, 2, 2, 1]",3,3,34.849665,-10430.504151,-1490.072022,0.2907,True,True,22,P1,1,xyz/N7_0012_ring-5-substituted.xyz,cif/N7_0012_ring-5-substituted.cif
61,N7,7,branched-tree,6,0,[],"[3, 2, 2, 2, 1, 1, 1]",3,0,13.000326,-10430.611295,-1490.087328,0.2753,True,True,42,P1,1,xyz/N7_0013_branched-tree.xyz,cif/N7_0013_branched-tree.cif
62,N7,7,bicyclic-3-4,8,2,"[3, 4]","[3, 3, 3, 3, 2, 1, 1]",3,1,301.961040,-10429.614379,-1489.944911,0.4178,True,True,44,P1,1,xyz/N7_0014_bicyclic-3-4.xyz,cif/N7_0014_bicyclic-3-4.cif
63,N7,7,bicyclic-5-5,8,2,"[5, 5]","[3, 3, 2, 2, 2, 2, 2]",3,4,89.892363,-10428.370880,-1489.767269,0.5954,True,True,12,P1,1,xyz/N7_0015_bicyclic-5-5.xyz,cif/N7_0015_bicyclic-5-5.cif
64,N7,7,bicyclic-3-5,8,2,"[3, 5]","[3, 3, 3, 2, 2, 2, 1]",3,1,268.241627,-10428.518040,-1489.788291,0.5744,True,True,52,P1,1,xyz/N7_0016_bicyclic-3-5.xyz,cif/N7_0016_bicyclic-3-5.cif
65,N7,7,bicyclic-3-3,8,2,"[3, 3]","[3, 3, 3, 2, 2, 2, 1]",3,0,521.615580,-10429.715094,-1489.959299,0.4034,True,True,65,P1,1,xyz/N7_0017_bicyclic-3-3.xyz,cif/N7_0017_bicyclic-3-3.cif
66,N7,7,bicyclic-3-3,8,2,"[3, 3]","[3, 3, 3, 3, 2, 1, 1]",3,0,431.969397,-11705.414445,-1672.202064,-181.8394,False,False,500,P1,1,xyz/N7_0018_bicyclic-3-3.xyz,cif/N7_0018_bicyclic-3-3.cif
67,N7,7,ring-4-substituted,7,1,[4],"[3, 3, 2, 2, 2, 1, 1]",3,0,115.784881,-10426.644200,-1489.520600,0.8421,True,True,14,P1,1,xyz/N7_0019_ring-4-substituted.xyz,cif/N7_0019_ring-4-substituted.cif
68,N7,7,ring-3-substituted,7,1,[3],"[3, 3, 2, 2, 2, 1, 1]",3,1,282.939166,-10429.537451,-1489.933922,0.4288,True,True,89,P1,1,xyz/N7_0020_ring-3-substituted.xyz,cif/N7_0020_ring-3-substituted.cif
69,N7,7,ring-5-substituted,7,1,[5],"[3, 3, 2, 2, 2, 1, 1]",3,3,32.758329,-10428.135154,-1489.733593,0.6291,True,True,17,P1,1,xyz/N7_0021_ring-5-substituted.xyz,cif/N7_0021_ring-5-substituted.cif
70,N7,7,branched-tree,6,0,[],"[3, 3, 2, 1, 1, 1, 1]",3,0,17.656568,-10432.301548,-1490.328793,0.0339,True,True,42,P1,1,xyz/N7_0022_branched-tree.xyz,cif/N7_0022_branched-tree.cif
71,N7,7,ring-5-substituted,7,1,[5],"[3, 3, 2, 2, 2, 1, 1]",3,2,34.790790,-10429.643427,-1489.949061,0.4136,True,True,137,P1,1,xyz/N7_0023_ring-5-substituted.xyz,cif/N7_0023_ring-5-substituted.cif
72,N7,7,ring-4-substituted,7,1,[4],"[3, 3, 2, 2, 2, 1, 1]",3,3,101.023137,-10432.450326,-1490.350047,0.0126,True,True,172,P1,1,xyz/N7_0024_ring-4-substituted.xyz,cif/N7_0024_ring-4-substituted.cif
73,N7,7,ring-3-substituted,7,1,[3],"[3, 3, 3, 2, 1, 1, 1]",3,3,259.486884,-10432.359208,-1490.337030,0.0256,True,True,81,P1,1,xyz/N7_0025_ring-3-substituted.xyz,cif/N7_0025_ring-3-substituted.cif
74,N7,7,ring-6-substituted,7,1,[6],"[3, 2, 2, 2, 2, 2, 1]",3,4,17.349086,-10428.800685,-1489.828669,0.5340,True,True,20,P1,1,xyz/N7_0026_ring-6-substituted.xyz,cif/N7_0026_ring-6-substituted.cif
75,N7,7,bicyclic-4-5,8,2,"[4, 5]","[3, 3, 3, 2, 2, 2, 1]",3,1,178.079545,-10428.205201,-1489.743600,0.6191,True,True,34,P1,1,xyz/N7_0027_bicyclic-4-5.xyz,cif/N7_0027_bicyclic-4-5.cif
76,N7,7,ring-3-substituted,7,1,[3],"[3, 3, 2, 2, 2, 1, 1]",3,0,282.829230,-10432.456502,-1490.350929,0.0117,True,True,391,P1,1,xyz/N7_0028_ring-3-substituted.xyz,cif/N7_0028_ring-3-substituted.cif
77,N7,7,bicyclic-3-6,8,2,"[3, 6]","[3, 3, 2, 2, 2, 2, 2]",3,1,257.738321,-10426.915038,-1489.559291,0.8034,True,True,18,P1,1,xyz/N7_0029_bicyclic-3-6.xyz,cif/N7_0029_bicyclic-3-6.cif
78,N7,7,bicyclic-4-4,8,2,"[4, 4]","[3, 3, 3, 3, 2, 1, 1]",3,1,285.362701,-10432.336157,-1490.333737,0.0289,True,True,62,P1,1,xyz/N7_0030_bicyclic-4-4.xyz,cif/N7_0030_bicyclic-4-4.cif
79,N7,7,branched-tree,6,0,[],"[3, 3, 2, 1, 1, 1, 1]",3,2,17.404667,-10429.109576,-1489.872797,0.4899,True,True,28,P1,1,xyz/N7_0031_branched-tree.xyz,cif/N7_0031_branched-tree.cif
80,N7,7,branched-tree,6,0,[],"[3, 2, 2, 2, 1, 1, 1]",3,1,13.011701,-10432.295336,-1490.327905,0.0348,True,True,197,P1,1,xyz/N7_0032_branched-tree.xyz,cif/N7_0032_branched-tree.cif
81,N7,7,bicyclic-3-4,8,2,"[3, 4]","[3, 3, 3, 2, 2, 2, 1]",3,1,323.928794,-10429.924411,-1489.989202,0.3735,True,True,194,P1,1,xyz/N7_0033_bicyclic-3-4.xyz,cif/N7_0033_bicyclic-3-4.cif
82,N7,7,bicyclic-3-3-5,9,3,"[3, 3, 5]","[3, 3, 3, 3, 3, 2, 1]",3,0,463.599428,-21555.577996,-3079.368285,-1589.0056,False,False,500,P1,1,xyz/N7_0034_bicyclic-3-3-5.xyz,cif/N7_0034_bicyclic-3-3-5.cif
83,N7,7,bicyclic-4-4-5,9,3,"[4, 4, 5]","[3, 3, 3, 3, 3, 2, 1]",3,1,384.177002,-10428.040642,-1489.720092,0.6426,True,True,27,P1,1,xyz/N7_0035_bicyclic-4-4-5.xyz,cif/N7_0035_bicyclic-4-4-5.cif
84,N7,7,ring-3-substituted,7,1,[3],"[3, 2, 2, 2, 2, 2, 1]",3,2,278.482744,-10427.983132,-1489.711876,0.6508,True,True,17,P1,1,xyz/N7_0036_ring-3-substituted.xyz,cif/N7_0036_ring-3-substituted.cif
85,N7,7,ring-3-substituted,7,1,[3],"[3, 3, 2, 2, 2, 1, 1]",3,4,252.528687,-10427.974491,-1489.710642,0.6520,True,True,28,P1,1,xyz/N7_0037_ring-3-substituted.xyz,cif/N7_0037_ring-3-substituted.cif
86,N7,7,bicyclic-3-4-5,9,3,"[3, 4, 5]","[3, 3, 3, 3, 2, 2, 2]",3,4,322.096302,-10426.872294,-1489.553185,0.8095,True,True,10,P1,1,xyz/N7_0038_bicyclic-3-4-5.xyz,cif/N7_0038_bicyclic-3-4-5.cif
87,N7,7,bicyclic-3-3,8,2,"[3, 3]","[3, 3, 3, 3, 2, 1, 1]",3,1,462.926016,-10425.870362,-1489.410052,0.9526,True,True,31,P1,1,xyz/N7_0039_bicyclic-3-3.xyz,cif/N7_0039_bicyclic-3-3.cif
88,N7,7,bicyclic-3-4,8,2,"[3, 4]","[3, 3, 3, 2, 2, 2, 1]",3,3,311.135042,-10427.364463,-1489.623495,0.7392,True,True,21,P1,1,xyz/N7_0040_bicyclic-3-4.xyz,cif/N7_0040_bicyclic-3-4.cif
89,N7,7,bicyclic-3-5,8,2,"[3, 5]","[3, 3, 3, 2, 2, 2, 1]",3,2,267.221336,-10428.267880,-1489.752554,0.6101,True,True,29,P1,1,xyz/N7_0041_bicyclic-3-5.xyz,cif/N7_0041_bicyclic-3-5.cif
90,N7,7,bicyclic-4-5,8,2,"[4, 5]","[3, 3, 3, 2, 2, 2, 1]",3,1,170.497841,-10430.933825,-1490.133404,0.2293,True,True,38,P1,1,xyz/N7_0042_bicyclic-4-5.xyz,cif/N7_0042_bicyclic-4-5.cif
91,N7,7,bicyclic-3-5-5,9,3,"[3, 5, 5]","[3, 3, 3, 3, 2, 2, 2]",3,4,293.601702,-10427.415636,-1489.630805,0.7319,True,True,7,P1,1,xyz/N7_0043_bicyclic-3-5-5.xyz,cif/N7_0043_bicyclic-3-5-5.cif
92,N7,7,ring-4-substituted,7,1,[4],"[3, 3, 2, 2, 2, 1, 1]",3,3,99.489630,-10429.410619,-1489.915803,0.4469,True,True,20,P1,1,xyz/N7_0044_ring-4-substituted.xyz,cif/N7_0044_ring-4-substituted.cif
93,N7,7,bicyclic-3-3-4,9,3,"[3, 3, 4]","[3, 3, 3, 3, 3, 2, 1]",3,0,560.287524,-42137.454755,-6019.636394,-4529.2737,False,False,500,P1,1,xyz/N7_0045_bicyclic-3-3-4.xyz,cif/N7_0045_bicyclic-3-3-4.cif
94,N7,7,chain,6,0,[],"[2, 2, 2, 2, 2, 1, 1]",2,3,8.310088,-10429.762937,-1489.966134,0.3965,True,True,38,P1,1,xyz/N7_0046_chain.xyz,cif/N7_0046_chain.cif
95,N7,7,bicyclic-4-5,8,2,"[4, 5]","[3, 3, 2, 2, 2, 2, 2]",3,2,116.618183,-10431.006528,-1490.143790,0.2189,True,True,22,P1,1,xyz/N7_0047_bicyclic-4-5.xyz,cif/N7_0047_bicyclic-4-5.cif
96,N7,7,bicyclic-3-3-3,9,3,"[3, 3, 3]","[3, 3, 3, 3, 2, 2, 2]",3,0,728.306241,-11439.895433,-1634.270776,-143.9081,False,False,500,P1,1,xyz/N7_0048_bicyclic-3-3-3.xyz,cif/N7_0048_bicyclic-3-3-3.cif
97,N7,7,bicyclic-3-4-5,9,3,"[3, 4, 5]","[3, 3, 3, 3, 2, 2, 2]",3,4,410.304392,-21210.441010,-3030.063001,-1539.7003,False,False,500,P1,1,xyz/N7_0049_bicyclic-3-4-5.xyz,cif/N7_0049_bicyclic-3-4-5.cif
98,N7,7,bicyclic-4-5-5,9,3,"[4, 5, 5]","[3, 3, 3, 3, 2, 2, 2]",3,0,310.225367,-52238.149013,-7462.592716,-5972.2300,False,False,500,P1,1,xyz/N7_0050_bicyclic-4-5-5.xyz,cif/N7_0050_bicyclic-4-5-5.cif
99,N7,7,bicyclic-3-5,8,2,"[3, 5]","[3, 3, 3, 2, 2, 2, 1]",3,4,246.187797,-10431.025974,-1490.146568,0.2161,True,True,40,P1,1,xyz/N7_0051_bicyclic-3-5.xyz,cif/N7_0051_bicyclic-3-5.cif
100,N7,7,ring-7,7,1,[7],"[2, 2, 2, 2, 2, 2, 2]",2,0,12.831282,-10428.089422,-1489.727060,0.6356,True,True,24,P1,1,xyz/N7_0052_ring-7.xyz,cif/N7_0052_ring-7.cif
101,N7,7,bicyclic-3-4-4,9,3,"[3, 4, 4]","[3, 3, 3, 3, 2, 2, 2]",3,4,398.516266,-10425.192905,-1489.313272,1.0494,True,True,18,P1,1,xyz/N7_0053_bicyclic-3-4-4.xyz,cif/N7_0053_bicyclic-3-4-4.cif
102,N7,7,bicyclic-3-3-4,9,3,"[3, 3, 4]","[3, 3, 3, 3, 3, 2, 1]",3,2,529.067875,-11863.821367,-1694.831624,-204.4689,False,False,500,P1,1,xyz/N7_0054_bicyclic-3-3-4.xyz,cif/N7_0054_bicyclic-3-3-4.cif
103,N7,7,bicyclic-4-4-4,9,3,"[4, 4, 4]","[3, 3, 3, 3, 3, 2, 1]",3,4,384.801360,-10428.045486,-1489.720784,0.6419,True,True,51,P1,1,xyz/N7_0055_bicyclic-4-4-4.xyz,cif/N7_0055_bicyclic-4-4-4.cif
104,N7,7,bicyclic-4-6,8,2,"[4, 6]","[3, 3, 2, 2, 2, 2, 2]",3,1,125.040735,-13074.797061,-1867.828152,-377.4655,False,False,500,P1,1,xyz/N7_0056_bicyclic-4-6.xyz,cif/N7_0056_bicyclic-4-6.cif
105,N7,7,bicyclic-3-4-4-4,10,4,"[3, 4, 4, 4]","[3, 3, 3, 3, 3, 3, 2]",3,2,452.047513,-10425.099495,-1489.299928,1.0627,True,True,13,P1,1,xyz/N7_0057_bicyclic-3-4-4-4.xyz,cif/N7_0057_bicyclic-3-4-4-4.cif
106,N7,7,bicyclic-4-4,8,2,"[4, 4]","[3, 3, 3, 2, 2, 2, 1]",3,3,302.577998,-98924.909184,-14132.129883,-12641.7672,False,False,500,P1,1,xyz/N7_0058_bicyclic-4-4.xyz,cif/N7_0058_bicyclic-4-4.cif
107,N7,7,bicyclic-3-3-5-5,10,4,"[3, 3, 5, 5]","[3, 3, 3, 3, 3, 3, 2]",3,1,697.324679,-21984.453216,-3140.636174,-1650.2735,False,False,500,P1,1,xyz/N7_0059_bicyclic-3-3-5-5.xyz,cif/N7_0059_bicyclic-3-3-5-5.cif
108,N7,7,bicyclic-3-3-4-5,10,4,"[3, 3, 4, 5]","[3, 3, 3, 3, 3, 3, 2]",3,4,875.204210,-10430.462006,-1490.066001,0.2967,True,True,92,P1,1,xyz/N7_0060_bicyclic-3-3-4-5.xyz,cif/N7_0060_bicyclic-3-3-4-5.cif
109,N8,8,bicyclic-4-4,9,2,"[4, 4]","[3, 3, 3, 2, 2, 2, 2, 1]",3,2,174.659823,-11917.819489,-1489.727436,0.6352,True,True,65,P1,1,xyz/N8_0000_bicyclic-4-4.xyz,cif/N8_0000_bicyclic-4-4.cif
110,N8,8,bicyclic-3-3-5,10,3,"[3, 3, 5]","[3, 3, 3, 3, 3, 2, 2, 1]",3,1,506.674252,-11918.601566,-1489.825196,0.5375,True,True,150,P1,1,xyz/N8_0001_bicyclic-3-3-5.xyz,cif/N8_0001_bicyclic-3-3-5.cif
111,N8,8,bicyclic-3-6,9,2,"[3, 6]","[3, 3, 3, 2, 2, 2, 2, 1]",3,3,263.564051,-11919.882504,-1489.985313,0.3774,True,True,80,P1,1,xyz/N8_0002_bicyclic-3-6.xyz,cif/N8_0002_bicyclic-3-6.cif
112,N8,8,ring-3-substituted,8,1,[3],"[3, 3, 2, 2, 2, 2, 1, 1]",3,0,253.177570,-11920.641019,-1490.080127,0.2826,True,True,71,P-1,2,xyz/N8_0003_ring-3-substituted.xyz,cif/N8_0003_ring-3-substituted.cif
113,N8,8,bicyclic-5-5,9,2,"[5, 5]","[3, 3, 3, 3, 2, 2, 1, 1]",3,4,170.175967,-11921.124801,-1490.140600,0.2221,True,True,118,P1,1,xyz/N8_0004_bicyclic-5-5.xyz,cif/N8_0004_bicyclic-5-5.cif
114,N8,8,bicyclic-4-5-6,10,3,"[4, 5, 6]","[3, 3, 3, 3, 3, 2, 2, 1]",3,1,313.652208,-11918.756640,-1489.844580,0.5181,True,True,149,P1,1,xyz/N8_0005_bicyclic-4-5-6.xyz,cif/N8_0005_bicyclic-4-5-6.cif
115,N8,8,bicyclic-3-5,9,2,"[3, 5]","[3, 3, 3, 3, 2, 2, 1, 1]",3,4,248.648159,-11920.760328,-1490.095041,0.2676,True,True,35,P1,1,xyz/N8_0006_bicyclic-3-5.xyz,cif/N8_0006_bicyclic-3-5.cif
116,N8,8,bicyclic-5-5,9,2,"[5, 5]","[3, 3, 3, 2, 2, 2, 2, 1]",3,4,179.743694,-11914.594506,-1489.324313,1.0384,True,True,22,P1,1,xyz/N8_0007_bicyclic-5-5.xyz,cif/N8_0007_bicyclic-5-5.cif
117,N8,8,ring-4-substituted,8,1,[4],"[3, 3, 2, 2, 2, 2, 1, 1]",3,1,101.747730,-11918.838108,-1489.854764,0.5079,True,True,50,P1,1,xyz/N8_0008_ring-4-substituted.xyz,cif/N8_0008_ring-4-substituted.cif
118,N8,8,bicyclic-3-4,9,2,"[3, 4]","[3, 3, 3, 3, 3, 1, 1, 1]",3,3,293.706631,-11921.107185,-1490.138398,0.2243,True,True,87,P1,1,xyz/N8_0009_bicyclic-3-4.xyz,cif/N8_0009_bicyclic-3-4.cif
119,N8,8,bicyclic-4-6,9,2,"[4, 6]","[3, 3, 2, 2, 2, 2, 2, 2]",3,3,107.521133,-11917.695162,-1489.711895,0.6508,True,True,19,P1,1,xyz/N8_0010_bicyclic-4-6.xyz,cif/N8_0010_bicyclic-4-6.cif
120,N8,8,ring-3-substituted,8,1,[3],"[3, 2, 2, 2, 2, 2, 2, 1]",3,0,280.140549,-11918.997852,-1489.874732,0.4879,True,True,25,P1,1,xyz/N8_0011_ring-3-substituted.xyz,cif/N8_0011_ring-3-substituted.cif
121,N8,8,branched-tree,7,0,[],"[3, 2, 2, 2, 2, 1, 1, 1]",3,4,15.147865,-11919.732927,-1489.966616,0.3961,True,True,45,P1,1,xyz/N8_0012_branched-tree.xyz,cif/N8_0012_branched-tree.cif
122,N8,8,ring-4-substituted,8,1,[4],"[3, 3, 3, 3, 1, 1, 1, 1]",3,4,83.351063,-11923.140922,-1490.392615,-0.0299,False,True,86,P1,1,xyz/N8_0013_ring-4-substituted.xyz,cif/N8_0013_ring-4-substituted.cif
123,N8,8,ring-5-substituted,8,1,[5],"[3, 3, 2, 2, 2, 2, 1, 1]",3,1,35.962633,-11920.773023,-1490.096628,0.2660,True,True,67,P1,1,xyz/N8_0014_ring-5-substituted.xyz,cif/N8_0014_ring-5-substituted.cif
