id,formula,n_atoms,topology_label,n_edges,n_rings,ring_sizes,degree_sequence,max_degree_actual,conformer_id,ff_energy_au,mace_energy_eV,mace_energy_eV_per_atom,delta_E_eV_per_atom_vs_N2,is_stability_candidate,converged,n_opt_steps,spacegroup,sg_number,xyz_file,cif_file
363,N10,10,bicyclic-3-4-7,12,3,"[3, 4, 7]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,0,352.989274,-24391.670288,-2439.167029,-948.8044,False,False,500,P1,1,xyz/N10_0054_bicyclic-3-4-7.xyz,cif/N10_0054_bicyclic-3-4-7.cif
364,N10,10,bicyclic-5-6-7,12,3,"[5, 6, 7]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,2,517.300106,-16363.302123,-1636.330212,-145.9675,False,False,500,P1,1,xyz/N10_0055_bicyclic-5-6-7.xyz,cif/N10_0055_bicyclic-5-6-7.cif
365,N10,10,bicyclic-3-6,11,2,"[3, 6]","[3, 3, 3, 3, 2, 2, 2, 2, 1, 1]",3,3,275.510800,-14900.371589,-1490.037159,0.3255,True,True,110,P1,1,xyz/N10_0056_bicyclic-3-6.xyz,cif/N10_0056_bicyclic-3-6.cif
366,N10,10,bicyclic-4-5,11,2,"[4, 5]","[3, 3, 3, 3, 3, 2, 2, 1, 1, 1]",3,4,173.151995,-14902.069403,-1490.206940,0.1557,True,True,69,P1,1,xyz/N10_0057_bicyclic-4-5.xyz,cif/N10_0057_bicyclic-4-5.cif
367,N10,10,ring-3-substituted,10,1,[3],"[3, 3, 3, 2, 2, 2, 2, 1, 1, 1]",3,4,262.208883,-14900.291210,-1490.029121,0.3336,True,True,70,P1,1,xyz/N10_0058_ring-3-substituted.xyz,cif/N10_0058_ring-3-substituted.cif
368,N10,10,bicyclic-3-3-5,12,3,"[3, 3, 5]","[3, 3, 3, 3, 3, 3, 2, 2, 1, 1]",3,1,464.308814,-14902.576758,-1490.257676,0.1050,True,True,112,P1,1,xyz/N10_0059_bicyclic-3-3-5.xyz,cif/N10_0059_bicyclic-3-3-5.cif
369,N10,10,ring-3-substituted,10,1,[3],"[3, 3, 3, 2, 2, 2, 2, 1, 1, 1]",3,4,262.228185,-14899.467543,-1489.946754,0.4159,True,True,84,P1,1,xyz/N10_0060_ring-3-substituted.xyz,cif/N10_0060_ring-3-substituted.cif
370,N10,10,ring-3-substituted,10,1,[3],"[3, 3, 3, 3, 2, 2, 1, 1, 1, 1]",3,0,266.629122,-14903.355703,-1490.335570,0.0271,True,True,170,P1,1,xyz/N10_0061_ring-3-substituted.xyz,cif/N10_0061_ring-3-substituted.cif
371,N10,10,bicyclic-3-5,11,2,"[3, 5]","[3, 3, 3, 3, 3, 2, 2, 1, 1, 1]",3,1,251.109434,-14898.525819,-1489.852582,0.5101,True,True,81,P1,1,xyz/N10_0062_bicyclic-3-5.xyz,cif/N10_0062_bicyclic-3-5.cif
372,N10,10,bicyclic-4-5-5-5-5,14,5,"[4, 5, 5, 5, 5]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3,2,781.098659,-42273.242756,-4227.324276,-2736.9616,False,False,500,P1,1,xyz/N10_0063_bicyclic-4-5-5-5-5.xyz,cif/N10_0063_bicyclic-4-5-5-5-5.cif
373,N10,10,ring-4-substituted,10,1,[4],"[3, 3, 3, 2, 2, 2, 2, 1, 1, 1]",3,0,109.401053,-14900.787514,-1490.078751,0.2839,True,True,87,P1,1,xyz/N10_0064_ring-4-substituted.xyz,cif/N10_0064_ring-4-substituted.cif
374,N10,10,bicyclic-4-5,11,2,"[4, 5]","[3, 3, 3, 2, 2, 2, 2, 2, 2, 1]",3,3,140.818217,-14897.404618,-1489.740462,0.6222,True,True,53,P1,1,xyz/N10_0065_bicyclic-4-5.xyz,cif/N10_0065_bicyclic-4-5.cif
375,N10,10,ring-3-substituted,10,1,[3],"[3, 3, 3, 2, 2, 2, 2, 1, 1, 1]",3,4,292.615925,-14900.389754,-1490.038975,0.3237,True,True,90,P1,1,xyz/N10_0066_ring-3-substituted.xyz,cif/N10_0066_ring-3-substituted.cif
376,N10,10,ring-7-substituted,10,1,[7],"[3, 3, 3, 2, 2, 2, 2, 1, 1, 1]",3,2,32.205223,-14903.371344,-1490.337134,0.0255,True,True,150,P1,1,xyz/N10_0067_ring-7-substituted.xyz,cif/N10_0067_ring-7-substituted.cif
377,N10,10,bicyclic-4-5,11,2,"[4, 5]","[3, 3, 3, 2, 2, 2, 2, 2, 2, 1]",3,4,629.895566,-15972.914151,-1597.291415,-106.9287,False,False,500,P1,1,xyz/N10_0068_bicyclic-4-5.xyz,cif/N10_0068_bicyclic-4-5.cif
378,N10,10,ring-7-substituted,10,1,[7],"[3, 2, 2, 2, 2, 2, 2, 2, 2, 1]",3,4,265.758154,-16211.534131,-1621.153413,-130.7907,False,False,500,P1,1,xyz/N10_0069_ring-7-substituted.xyz,cif/N10_0069_ring-7-substituted.cif
379,N10,10,ring-5-substituted,10,1,[5],"[3, 2, 2, 2, 2, 2, 2, 2, 2, 1]",3,2,39.349855,-14901.856187,-1490.185619,0.1771,True,True,81,P1,1,xyz/N10_0070_ring-5-substituted.xyz,cif/N10_0070_ring-5-substituted.cif
380,N10,10,bicyclic-3-6-7,12,3,"[3, 6, 7]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,0,314.011026,-14896.647502,-1489.664750,0.6979,True,True,39,P1,1,xyz/N10_0071_bicyclic-3-6-7.xyz,cif/N10_0071_bicyclic-3-6-7.cif
381,N10,10,ring-4-substituted,10,1,[4],"[3, 3, 3, 2, 2, 2, 2, 1, 1, 1]",3,4,112.652657,-14898.751911,-1489.875191,0.4875,True,True,89,P1,1,xyz/N10_0072_ring-4-substituted.xyz,cif/N10_0072_ring-4-substituted.cif
382,N10,10,bicyclic-3-3-5,12,3,"[3, 3, 5]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,4,1028.566292,-14903.300125,-1490.330012,0.0327,True,True,165,P1,1,xyz/N10_0073_bicyclic-3-3-5.xyz,cif/N10_0073_bicyclic-3-3-5.cif
383,N10,10,branched-tree,9,0,[],"[3, 3, 2, 2, 2, 2, 1, 1, 1, 1]",3,0,22.656305,-14904.100407,-1490.410041,-0.0474,False,True,100,P1,1,xyz/N10_0074_branched-tree.xyz,cif/N10_0074_branched-tree.cif
384,N10,10,bicyclic-3-5-7,12,3,"[3, 5, 7]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,2,270.204505,-14899.070407,-1489.907041,0.4556,True,True,78,P1,1,xyz/N10_0075_bicyclic-3-5-7.xyz,cif/N10_0075_bicyclic-3-5-7.cif
385,N10,10,ring-3-substituted,10,1,[3],"[3, 3, 3, 2, 2, 2, 2, 1, 1, 1]",3,2,292.760889,-14900.289767,-1490.028977,0.3337,True,True,91,P1,1,xyz/N10_0076_ring-3-substituted.xyz,cif/N10_0076_ring-3-substituted.cif
386,N10,10,bicyclic-3-4-6-7,13,4,"[3, 4, 6, 7]","[3, 3, 3, 3, 3, 3, 3, 2, 2, 1]",3,0,418.442683,-17520.377747,-1752.037775,-261.6751,False,False,500,P1,1,xyz/N10_0077_bicyclic-3-4-6-7.xyz,cif/N10_0077_bicyclic-3-4-6-7.cif
387,N10,10,ring-5-substituted,10,1,[5],"[3, 3, 3, 2, 2, 2, 2, 1, 1, 1]",3,1,44.024547,-14901.621796,-1490.162180,0.2005,True,True,46,P1,1,xyz/N10_0078_ring-5-substituted.xyz,cif/N10_0078_ring-5-substituted.cif
388,N10,10,branched-tree,9,0,[],"[3, 3, 2, 2, 2, 2, 1, 1, 1, 1]",3,0,22.447829,-14904.177494,-1490.417749,-0.0551,False,True,136,P1,1,xyz/N10_0079_branched-tree.xyz,cif/N10_0079_branched-tree.cif
389,N10,10,bicyclic-4-4,11,2,"[4, 4]","[3, 3, 3, 3, 2, 2, 2, 2, 1, 1]",3,1,171.461318,-15966.350603,-1596.635060,-106.2724,False,False,500,P1,1,xyz/N10_0080_bicyclic-4-4.xyz,cif/N10_0080_bicyclic-4-4.cif
390,N10,10,bicyclic-3-3-5,12,3,"[3, 3, 5]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,2,483.270872,-14898.158609,-1489.815861,0.5468,True,True,67,P1,1,xyz/N10_0081_bicyclic-3-3-5.xyz,cif/N10_0081_bicyclic-3-3-5.cif
391,N10,10,bicyclic-3-5-6,12,3,"[3, 5, 6]","[3, 3, 3, 3, 2, 2, 2, 2, 2, 2]",3,3,279.644423,-14899.101267,-1489.910127,0.4526,True,True,88,P1,1,xyz/N10_0082_bicyclic-3-5-6.xyz,cif/N10_0082_bicyclic-3-5-6.cif
392,N10,10,bicyclic-6-9,11,2,"[6, 9]","[3, 3, 2, 2, 2, 2, 2, 2, 2, 2]",3,2,31.384012,-14900.018628,-1490.001863,0.3608,True,True,59,P1,1,xyz/N10_0083_bicyclic-6-9.xyz,cif/N10_0083_bicyclic-6-9.cif
393,N10,10,ring-3-substituted,10,1,[3],"[3, 3, 2, 2, 2, 2, 2, 2, 1, 1]",3,1,257.522648,-14897.939725,-1489.793972,0.5687,True,True,51,P1,1,xyz/N10_0084_ring-3-substituted.xyz,cif/N10_0084_ring-3-substituted.cif
394,N10,10,bicyclic-3-5-6,12,3,"[3, 5, 6]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,3,265.671684,-14900.286944,-1490.028694,0.3340,True,True,125,P1,1,xyz/N10_0085_bicyclic-3-5-6.xyz,cif/N10_0085_bicyclic-3-5-6.cif
395,N10,10,bicyclic-4-7,11,2,"[4, 7]","[3, 3, 3, 3, 2, 2, 2, 2, 1, 1]",3,0,122.386720,-34349.141401,-3434.914140,-1944.5515,False,False,500,P1,1,xyz/N10_0086_bicyclic-4-7.xyz,cif/N10_0086_bicyclic-4-7.cif
396,N10,10,bicyclic-3-4,11,2,"[3, 4]","[3, 3, 3, 3, 2, 2, 2, 2, 1, 1]",3,0,304.130628,-14899.869799,-1489.986980,0.3757,True,True,231,P1,1,xyz/N10_0087_bicyclic-3-4.xyz,cif/N10_0087_bicyclic-3-4.cif
397,N10,10,ring-3-substituted,10,1,[3],"[3, 3, 3, 2, 2, 2, 2, 1, 1, 1]",3,4,261.877211,-14900.825713,-1490.082571,0.2801,True,True,33,P1,1,xyz/N10_0088_ring-3-substituted.xyz,cif/N10_0088_ring-3-substituted.cif
398,N10,10,bicyclic-3-5,11,2,"[3, 5]","[3, 3, 3, 3, 2, 2, 2, 2, 1, 1]",3,1,256.059638,-14902.109860,-1490.210986,0.1517,True,True,88,P1,1,xyz/N10_0089_bicyclic-3-5.xyz,cif/N10_0089_bicyclic-3-5.cif
399,N10,10,ring-3-substituted,10,1,[3],"[3, 3, 3, 3, 2, 2, 1, 1, 1, 1]",3,4,239.374744,-14901.916132,-1490.191613,0.1711,True,True,149,P1,1,xyz/N10_0090_ring-3-substituted.xyz,cif/N10_0090_ring-3-substituted.cif
400,N10,10,bicyclic-3-5-5,12,3,"[3, 5, 5]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,3,848.429663,-55263.553061,-5526.355306,-4035.9926,False,False,500,P1,1,xyz/N10_0091_bicyclic-3-5-5.xyz,cif/N10_0091_bicyclic-3-5-5.cif
401,N10,10,bicyclic-5-5,11,2,"[5, 5]","[3, 3, 3, 3, 2, 2, 2, 2, 1, 1]",3,2,170.207280,-14902.579736,-1490.257974,0.1047,True,True,158,P1,1,xyz/N10_0092_bicyclic-5-5.xyz,cif/N10_0092_bicyclic-5-5.cif
402,N10,10,bicyclic-4-5-5,12,3,"[4, 5, 5]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,0,184.453623,-14899.381872,-1489.938187,0.4245,True,True,53,P1,1,xyz/N10_0093_bicyclic-4-5-5.xyz,cif/N10_0093_bicyclic-4-5-5.cif
403,N10,10,ring-3-substituted,10,1,[3],"[3, 3, 3, 3, 2, 2, 1, 1, 1, 1]",3,3,267.128754,-14903.365745,-1490.336574,0.0261,True,True,150,P1,1,xyz/N10_0094_ring-3-substituted.xyz,cif/N10_0094_ring-3-substituted.cif
404,N10,10,bicyclic-3-4-7,12,3,"[3, 4, 7]","[3, 3, 3, 3, 2, 2, 2, 2, 2, 2]",3,4,334.481949,-14897.497496,-1489.749750,0.6129,True,True,83,P1,1,xyz/N10_0095_bicyclic-3-4-7.xyz,cif/N10_0095_bicyclic-3-4-7.cif
405,N10,10,bicyclic-5-6,11,2,"[5, 6]","[3, 3, 3, 3, 2, 2, 2, 2, 1, 1]",3,3,91.697524,-14902.570371,-1490.257037,0.1056,True,True,106,P1,1,xyz/N10_0096_bicyclic-5-6.xyz,cif/N10_0096_bicyclic-5-6.cif
406,N10,10,ring-7-substituted,10,1,[7],"[3, 3, 2, 2, 2, 2, 2, 2, 1, 1]",3,3,27.667554,-14899.153350,-1489.915335,0.4473,True,True,38,P1,1,xyz/N10_0097_ring-7-substituted.xyz,cif/N10_0097_ring-7-substituted.cif
407,N10,10,bicyclic-4-6-6,12,3,"[4, 6, 6]","[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]",3,0,208.261589,-47754.739653,-4775.473965,-3285.1113,False,False,500,P1,1,xyz/N10_0098_bicyclic-4-6-6.xyz,cif/N10_0098_bicyclic-4-6-6.cif
408,N10,10,bicyclic-3-5,11,2,"[3, 5]","[3, 3, 3, 3, 2, 2, 2, 2, 1, 1]",3,4,249.791850,-14897.693920,-1489.769392,0.5933,True,True,34,P1,1,xyz/N10_0099_bicyclic-3-5.xyz,cif/N10_0099_bicyclic-3-5.cif
