source,tag,xyz_file,n_atoms,topology_label,charge,uhf,converged,e_xtb_hartree,e_xtb_eV_per_atom,delta_E_eV_per_atom_vs_N2,seconds
N_csp,N_csp_N6_0018_bicyclic-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0018_bicyclic-3-3.xyz,6,bicyclic-3-3,0,0,True,-17.216677013880755,-78.08161,0.34073,0.43
N_csp,N_csp_N6_0008_ring-4-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0008_ring-4-substituted.xyz,6,ring-4-substituted,0,0,True,-17.293762273138395,-78.43121,-0.00887,9.83
N_csp,N_csp_N6_0020_bicyclic-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0020_bicyclic-4-4.xyz,6,bicyclic-4-4,0,0,True,-17.260063128261496,-78.27837,0.14396,0.5
N_csp,N_csp_N6_0013_bicyclic-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0013_bicyclic-3-3.xyz,6,bicyclic-3-3,0,0,True,-17.200068783753192,-78.00629,0.41605,8.44
N_csp,N_csp_N6_0004_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0004_ring-3-substituted.xyz,6,ring-3-substituted,0,0,True,-17.29909021206933,-78.45537,-0.03303,14.44
N_csp,N_csp_N6_0021_bicyclic-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0021_bicyclic-4-5.xyz,6,bicyclic-4-5,0,0,False,,,,2.22
N_csp,N_csp_N5_0006_bicyclic-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0006_bicyclic-3-3.xyz,5,bicyclic-3-3,0,1,True,-14.444393497320561,-78.61039,-0.18806,17.46
N_csp,N_csp_N6_0025_bicyclic-3-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0025_bicyclic-3-3-4.xyz,6,bicyclic-3-3-4,0,0,True,-17.192635676222086,-77.97257,0.44976,0.54
N_csp,N_csp_N5_0000_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0000_branched-tree.xyz,5,branched-tree,0,1,True,-14.444393496524674,-78.61039,-0.18806,19.85
N_csp,N_csp_N6_0024_bicyclic-4-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0024_bicyclic-4-4-5.xyz,6,bicyclic-4-4-5,0,0,False,,,,2.4
N_csp,N_csp_N6_0028_bicyclic-4-4-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0028_bicyclic-4-4-4-4.xyz,6,bicyclic-4-4-4-4,0,0,True,-17.229361515992547,-78.13914,0.2832,1.04
N_csp,N_csp_N6_0019_bicyclic-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0019_bicyclic-4-4.xyz,6,bicyclic-4-4,0,0,False,,,,9.86
N_csp,N_csp_N6_0022_bicyclic-3-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0022_bicyclic-3-4-4.xyz,6,bicyclic-3-4-4,0,0,True,-17.20032512513028,-78.00745,0.41489,8.22
N_csp,N_csp_N7_0000_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0000_ring-3-substituted.xyz,7,ring-3-substituted,0,1,True,-20.27139946163882,-78.80184,-0.3795,3.01
N_csp,N_csp_N6_0023_bicyclic-3-5-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0023_bicyclic-3-5-5.xyz,6,bicyclic-3-5-5,0,0,False,,,,7.17
N_csp,N_csp_N6_0001_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0001_branched-tree.xyz,6,branched-tree,0,0,False,,,,22.9
N_csp,N_csp_N7_0003_bicyclic-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0003_bicyclic-3-4.xyz,7,bicyclic-3-4,0,1,True,-20.09242042340259,-78.10609,0.31625,1.39
N_csp,N_csp_N7_0005_bicyclic-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0005_bicyclic-3-3.xyz,7,bicyclic-3-3,0,1,True,-20.122450807394998,-78.22283,0.19951,1.74
N_csp,N_csp_N7_0002_ring-4-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0002_ring-4-substituted.xyz,7,ring-4-substituted,0,1,True,-20.186831051682816,-78.47309,-0.05076,2.32
N_csp,N_csp_N7_0004_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0004_ring-3-substituted.xyz,7,ring-3-substituted,0,1,False,,,,2.95
N_csp,N_csp_N7_0009_bicyclic-4-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0009_bicyclic-4-4-5.xyz,7,bicyclic-4-4-5,0,1,False,,,,2.56
N_csp,N_csp_N7_0006_bicyclic-3-3-6,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0006_bicyclic-3-3-6.xyz,7,bicyclic-3-3-6,0,1,False,,,,4.31
N_csp,N_csp_N6_0027_bicyclic-3-3-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0027_bicyclic-3-3-4-4.xyz,6,bicyclic-3-3-4-4,0,0,True,-17.29394601982396,-78.43204,-0.0097,13.26
N_csp,N_csp_N6_0016_bicyclic-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0016_bicyclic-3-4.xyz,6,bicyclic-3-4,0,0,True,-17.299090209387305,-78.45537,-0.03303,23.71
N_csp,N_csp_N7_0012_ring-5-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0012_ring-5-substituted.xyz,7,ring-5-substituted,0,1,True,-20.245189909574425,-78.69995,-0.27762,1.67
N_csp,N_csp_N7_0001_bicyclic-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0001_bicyclic-3-4.xyz,7,bicyclic-3-4,0,1,True,-20.122243957380302,-78.22202,0.20031,14.29
N_csp,N_csp_N7_0014_bicyclic-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0014_bicyclic-3-4.xyz,7,bicyclic-3-4,0,1,True,-20.2674895799366,-78.78664,-0.36431,3.03
N_csp,N_csp_N7_0008_bicyclic-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0008_bicyclic-4-4.xyz,7,bicyclic-4-4,0,1,True,-20.18776329419943,-78.47672,-0.05438,11.16
N_csp,N_csp_N7_0015_bicyclic-5-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0015_bicyclic-5-5.xyz,7,bicyclic-5-5,0,1,True,-20.155311178125913,-78.35057,0.07177,3.23
N_csp,N_csp_N6_0026_bicyclic-4-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0026_bicyclic-4-4-4.xyz,6,bicyclic-4-4-4,0,0,False,,,,22.81
N_csp,N_csp_N7_0016_bicyclic-3-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0016_bicyclic-3-5.xyz,7,bicyclic-3-5,0,1,True,-20.26748957958826,-78.78664,-0.36431,4.5
N_csp,N_csp_N7_0011_bicyclic-4-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0011_bicyclic-4-4-4.xyz,7,bicyclic-4-4-4,0,1,True,-20.187763291308453,-78.47672,-0.05438,15.72
N_csp,N_csp_N7_0010_ring-4-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0010_ring-4-substituted.xyz,7,ring-4-substituted,0,1,True,-20.212298058572266,-78.57209,-0.14976,17.59
N_csp,N_csp_N7_0021_ring-5-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0021_ring-5-substituted.xyz,7,ring-5-substituted,0,1,True,-20.21366062548579,-78.57739,-0.15505,1.88
N_csp,N_csp_N7_0023_ring-5-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0023_ring-5-substituted.xyz,7,ring-5-substituted,0,1,True,-20.267489576711338,-78.78664,-0.36431,1.9
N_csp,N_csp_N6_0000_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0000_branched-tree.xyz,6,branched-tree,0,0,False,,,,48.4
N_csp,N_csp_N7_0018_bicyclic-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0018_bicyclic-3-3.xyz,7,bicyclic-3-3,0,1,False,,,,10.6
N_csp,N_csp_N7_0013_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0013_branched-tree.xyz,7,branched-tree,0,1,True,-20.212298058592303,-78.57209,-0.14976,19.88
N_csp,N_csp_N7_0017_bicyclic-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0017_bicyclic-3-3.xyz,7,bicyclic-3-3,0,1,True,-20.21118621864336,-78.56777,-0.14543,16.91
